Round,Variable,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
R03,Cumulative_Sales,238280,226180,234000,238500,232200,248240,240600,234560,229900,217500
R03,Debt,0,0,0,0,0,0,0,0,0,0
R03,Interest_Expense,0,0,0,0,0,0,0,0,0,0
R03,Cash_Flow,3480,-9920,9000,-4000,10300,6740,13600,18560,2900,3500
R03,Cumulative_Cash_Flow,-7720,-18820,24000,-18000,13200,-30760,5600,-3440,14900,7500
R03,Cash,192280,181180,224000,182000,213200,169240,205600,196560,214900,207500
R03,Material_Inventory_Assets,16000,0,0,14000,4000,24000,0,8000,0,0
R03,Product_in_Process_Assets,60000,75000,50000,70000,52500,70000,60000,50000,55000,50000
R03,Inventory_Assets,76000,75000,50000,84000,56500,94000,60000,58000,55000,50000
R03,Fixed_Assets,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000
R03,Assets,518280,506180,524000,516000,519700,513240,515600,504560,519900,507500
R03,Cost_of_Product_Manufactured,60000,60000,50000,62500,52500,75000,65000,70000,50000,50000
R03,Gross_Profit,27480,25080,29000,27500,28300,25740,28600,26560,27900,23500
R03,Operating_Profit,7480,5080,9000,7500,8300,5740,8600,6560,7900,3500
R03,Ordinary_Profit,7480,5080,9000,7500,8300,5740,8600,6560,7900,3500
R03,Current_Liabilities,0,0,0,0,0,0,0,0,0,0
R03,Retained_Earnings,18280,6180,24000,16000,19700,13240,15600,4560,19900,7500
R03,Capital_Stock,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
R03,Liabilities_and_Owners_Equity,518280,506180,524000,516000,519700,513240,515600,504560,519900,507500
R04,Product_Demand,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350
R04,Material_Price,400,400,400,400,400,400,400,400,400,400
R04,General_and_Administrative_Expenses,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
R04,Selling_Price,729,707,795,705,795,720,729,730,780,750
R04,Production_Order,130,150,100,155,105,120,130,120,110,100
R04,Materials_Procurement,130,150,100,170,100,120,140,100,110,120
R04,Cumulative_Selling_Price,2966,2827,3135,2910,3245,2885,2919,2820,3079,2925
R04,Unit_Manufacturing_Cost,100,100,100,100,100,100,100,100,100,100
R04,Materials_Ordered,130,150,100,170,100,120,140,100,110,120
R04,Materials_Delivered,150,150,100,150,100,100,130,100,110,100
R04,Cumulative_Materials_Delivered,530,520,400,550,420,550,480,460,420,400
R04,Procurement_Cost,60000,60000,40000,60000,40000,40000,52000,40000,44000,40000
R04,Max_Production_Quantity,190,150,100,185,110,160,130,120,110,100
R04,Number_of_Production_Order,130,150,100,155,105,120,130,120,110,100
R04,Number_of_Products_in_Process,130,150,100,155,105,120,130,120,110,100
R04,Material_Inventory,60,0,0,30,5,40,0,0,0,0
R04,Number_of_Products_Produced,120,150,100,140,105,140,120,100,110,100
R04,Cumulative_Number_of_Products_Produced,440,470,400,465,410,490,450,440,410,400
R04,Production_Cost,13000,15000,10000,15500,10500,12000,13000,12000,11000,10000
